Fiscal Year,Plan Name,State,Employee Contribution Rate,Employer Contribution Rate,Normal Cost Rate,Amortization Rate,Total Contribution Rate
2019,"New Jersey State Police Retirement System","New Jersey",8.77%,35.60%,36.52%,7.85%,44.37%
2020,"New Jersey State Police Retirement System","New Jersey",8.20%,39.81%,31.15%,16.86%,48.01%
2021,"New Jersey State Police Retirement System","New Jersey",9.14%,47.35%,35.55%,20.94%,56.49%
2022,"New Jersey State Police Retirement System","New Jersey",8.16%,62.09%,21.73%,48.52%,70.25%
2023,"New Jersey State Police Retirement System","New Jersey",8.90%,59.80%,24.80%,43.91%,68.70%
2014,"New Jersey Teachers’ Pension & Annuity Fund","New Jersey",7.13%,4.26%,18.64%,−7.24%,11.40%
2015,"New Jersey Teachers’ Pension & Annuity Fund","New Jersey",7.28%,5.32%,19.90%,−7.29%,12.61%
2016,"New Jersey Teachers’ Pension & Annuity Fund","New Jersey",7.39%,7.76%,22.75%,−7.59%,15.16%
2017,"New Jersey Teachers’ Pension & Annuity Fund","New Jersey",7.58%,10.80%,29.02%,−10.65%,18.38%
2018,"New Jersey Teachers’ Pension & Annuity Fund","New Jersey",7.62%,14.26%,20.96%,0.92%,21.88%
2019,"New Jersey Teachers’ Pension & Annuity Fund","New Jersey",7.82%,18.62%,17.39%,9.05%,26.44%
2020,"New Jersey Teachers’ Pension & Annuity Fund","New Jersey",7.84%,20.49%,14.86%,13.46%,28.33%
2021,"New Jersey Teachers’ Pension & Annuity Fund","New Jersey",7.79%,25.90%,15.52%,18.17%,33.69%
2022,"New Jersey Teachers’ Pension & Annuity Fund","New Jersey",7.88%,36.42%,10.38%,33.92%,44.31%
2023,"New Jersey Teachers’ Pension & Annuity Fund","New Jersey",7.86%,35.18%,11.50%,31.55%,43.04%
2014,"New Mexico Educational Retirement Board","New Mexico",9.89%,13.34%,12.89%,10.33%,23.22%
2015,"New Mexico Educational Retirement Board","New Mexico",10.72%,14.47%,12.71%,12.49%,25.20%
2016,"New Mexico Educational Retirement Board","New Mexico",10.80%,14.49%,13.02%,12.26%,25.28%
2017,"New Mexico Educational Retirement Board","New Mexico",10.85%,14.51%,13.11%,12.25%,25.36%
2018,"New Mexico Educational Retirement Board","New Mexico",10.83%,14.51%,18.48%,6.86%,25.34%
2019,"New Mexico Educational Retirement Board","New Mexico",10.85%,14.53%,18.70%,6.68%,25.38%
2020,"New Mexico Educational Retirement Board","New Mexico",10.82%,14.81%,12.74%,12.88%,25.63%
2021,"New Mexico Educational Retirement Board","New Mexico",10.79%,14.81%,29.96%,−4.35%,25.60%
2022,"New Mexico Educational Retirement Board","New Mexico",10.82%,15.93%,13.42%,13.33%,26.75%
2023,"New Mexico Educational Retirement Board","New Mexico",10.86%,18.18%,12.52%,16.52%,29.03%
2014,"New Mexico Judicial Retirement System","New Mexico",8.25%,28.42%,28.81%,7.85%,36.67%
2015,"New Mexico Judicial Retirement System","New Mexico",10.47%,27.82%,22.17%,16.12%,38.29%
2016,"New Mexico Judicial Retirement System","New Mexico",10.13%,27.14%,20.78%,16.49%,37.27%
2017,"New Mexico Judicial Retirement System","New Mexico",10.56%,29.20%,35.45%,4.31%,39.76%
2018,"New Mexico Judicial Retirement System","New Mexico",10.79%,31.23%,29.67%,12.34%,42.01%
2019,"New Mexico Judicial Retirement System","New Mexico",10.38%,29.04%,26.29%,13.13%,39.42%
2020,"New Mexico Judicial Retirement System","New Mexico",11.08%,29.11%,32.85%,7.34%,40.19%
2021,"New Mexico Judicial Retirement System","New Mexico",10.82%,33.13%,36.98%,6.97%,43.95%
2023,"New Mexico Judicial Retirement System","New Mexico",10.66%,29.62%,27.43%,12.85%,40.29%
2014,"New Mexico Public Employees Retirement Association","New Mexico",8.28%,17.64%,19.93%,5.98%,25.92%
2015,"New Mexico Public Employees Retirement Association","New Mexico",11.52%,14.11%,17.30%,8.32%,25.62%
2016,"New Mexico Public Employees Retirement Association","New Mexico",11.41%,13.96%,16.77%,8.60%,25.37%
2017,"New Mexico Public Employees Retirement Association","New Mexico",12.36%,15.23%,18.49%,9.10%,27.59%
2018,"New Mexico Public Employees Retirement Association","New Mexico",12.49%,14.11%,16.61%,9.98%,26.59%
2019,"New Mexico Public Employees Retirement Association","New Mexico",12.31%,14.85%,17.65%,9.50%,27.16%
2020,"New Mexico Public Employees Retirement Association","New Mexico",12.70%,15.75%,17.14%,11.30%,28.44%
2021,"New Mexico Public Employees Retirement Association","New Mexico",12.47%,15.28%,16.49%,11.26%,27.75%
2022,"New Mexico Public Employees Retirement Association","New Mexico",13.28%,16.07%,18.38%,10.97%,29.35%
2023,"New Mexico Public Employees Retirement Association","New Mexico",14.71%,17.91%,17.80%,14.82%,32.62%
2014,"New Orleans Employees Retirement System","Louisiana",6.37%,20.88%,7.44%,19.82%,27.25%
2015,"New Orleans Employees Retirement System","Louisiana",6.14%,21.24%,7.72%,19.65%,27.38%
2016,"New Orleans Employees Retirement System","Louisiana",6.45%,23.64%,7.85%,22.24%,30.08%
2017,"New Orleans Employees Retirement System","Louisiana",6.35%,22.49%,7.82%,21.02%,28.84%
2018,"New Orleans Employees Retirement System","Louisiana",6.42%,24.56%,7.09%,23.89%,30.98%
2019,"New Orleans Employees Retirement System","Louisiana",6.11%,22.66%,7.98%,20.79%,28.77%
2020,"New Orleans Employees Retirement System","Louisiana",6.52%,24.02%,8.35%,22.19%,30.54%
2021,"New Orleans Employees Retirement System","Louisiana",5.98%,15.21%,7.96%,13.23%,21.19%
2022,"New Orleans Employees Retirement System","Louisiana",5.90%,17.32%,8.35%,14.88%,23.23%
2023,"New Orleans Employees Retirement System","Louisiana",5.94%,17.84%,7.45%,16.33%,23.78%
2014,"New York City Board of Education Retirement System","New York",3.57%,20.59%,15.90%,8.26%,24.16%
2015,"New York City Board of Education Retirement System","New York",3.89%,25.38%,15.40%,13.87%,29.27%
2016,"New York City Board of Education Retirement System","New York",3.83%,26.34%,15.84%,14.33%,30.17%
2017,"New York City Board of Education Retirement System","New York",3.78%,27.39%,14.86%,16.32%,31.18%
2018,"New York City Board of Education Retirement System","New York",3.71%,28.91%,14.57%,18.05%,32.62%
2019,"New York City Board of Education Retirement System","New York",3.66%,21.33%,14.43%,10.57%,24.99%
2020,"New York City Board of Education Retirement System","New York",3.68%,19.03%,14.75%,7.95%,22.71%
2021,"New York City Board of Education Retirement System","New York",3.26%,12.39%,14.49%,1.16%,15.65%
2022,"New York City Board of Education Retirement System","New York",3.34%,17.68%,14.49%,6.53%,21.02%
2023,"New York City Board of Education Retirement System","New York",3.49%,16.36%,12.29%,7.56%,19.85%
2014,"New York City Employees' Retirement System","New York",3.53%,24.53%,15.49%,12.57%,28.06%
2015,"New York City Employees' Retirement System","New York",3.79%,25.66%,15.24%,14.22%,29.46%
2016,"New York City Employees' Retirement System","New York",3.94%,27.28%,16.08%,15.14%,31.21%
2017,"New York City Employees' Retirement System","New York",4.09%,26.51%,16.44%,14.16%,30.60%
2018,"New York City Employees' Retirement System","New York",4.08%,26.31%,16.36%,14.03%,30.39%
2019,"New York City Employees' Retirement System","New York",3.79%,25.54%,14.89%,14.43%,29.33%
2020,"New York City Employees' Retirement System","New York",3.76%,24.88%,14.46%,14.18%,28.65%
2021,"New York City Employees' Retirement System","New York",3.79%,24.60%,14.34%,14.06%,28.39%
2022,"New York City Employees' Retirement System","New York",3.89%,25.05%,14.34%,14.61%,28.94%
2023,"New York City Employees' Retirement System","New York",3.96%,22.35%,13.20%,13.11%,26.32%
2014,"New York City Fire Dept Article 1B Pension Fund","New York",9.46%,84.32%,38.78%,54.99%,93.78%
2015,"New York City Fire Dept Article 1B Pension Fund","New York",9.77%,88.94%,37.28%,61.43%,98.71%
2016,"New York City Fire Dept Article 1B Pension Fund","New York",10.33%,93.36%,46.99%,56.70%,103.69%
2017,"New York City Fire Dept Article 1B Pension Fund","New York",9.46%,92.60%,59.82%,42.24%,102.06%
2018,"New York City Fire Dept Article 1B Pension Fund","New York",9.30%,103.08%,54.63%,57.76%,112.39%
2019,"New York City Fire Dept Article 1B Pension Fund","New York",8.29%,107.34%,53.63%,62.00%,115.64%
2020,"New York City Fire Dept Article 1B Pension Fund","New York",7.99%,106.17%,52.77%,61.39%,114.16%
2021,"New York City Fire Dept Article 1B Pension Fund","New York",8.35%,106.60%,51.90%,63.05%,114.95%
2022,"New York City Fire Dept Article 1B Pension Fund","New York",9.60%,103.25%,51.90%,60.95%,112.85%
2023,"New York City Fire Dept Article 1B Pension Fund","New York",8.22%,98.98%,41.20%,66.00%,107.21%
2014,"New York Police Pension Fund Article 2","New York",6.32%,64.15%,38.22%,32.25%,70.47%
2015,"New York Police Pension Fund Article 2","New York",6.86%,65.75%,37.59%,35.02%,72.61%
2016,"New York Police Pension Fund Article 2","New York",7.06%,67.62%,41.26%,33.42%,74.68%
2017,"New York Police Pension Fund Article 2","New York",7.87%,65.35%,44.39%,28.84%,73.22%
2018,"New York Police Pension Fund Article 2","New York",7.27%,65.75%,43.93%,29.10%,73.02%
2019,"New York Police Pension Fund Article 2","New York",6.87%,63.20%,42.98%,27.10%,70.07%
2020,"New York Police Pension Fund Article 2","New York",6.60%,57.93%,41.86%,22.67%,64.53%
2021,"New York Police Pension Fund Article 2","New York",5.95%,56.70%,40.17%,22.47%,62.65%
2022,"New York Police Pension Fund Article 2","New York",6.60%,58.42%,40.17%,24.84%,65.01%
2023,"New York Police Pension Fund Article 2","New York",6.20%,54.07%,32.87%,27.40%,60.27%
2015,"New York State & Local Employees Retirement System","New York",1.11%,19.99%,12.21%,8.89%,21.10%
2016,"New York State & Local Employees Retirement System","New York",1.13%,16.95%,11.37%,6.71%,18.08%
2017,"New York State & Local Employees Retirement System","New York",1.17%,15.08%,11.27%,4.98%,16.24%
2018,"New York State & Local Employees Retirement System","New York",1.19%,14.80%,11.26%,4.74%,15.99%
2019,"New York State & Local Employees Retirement System","New York",1.26%,14.21%,11.76%,3.72%,15.47%
2020,"New York State & Local Employees Retirement System","New York",1.40%,13.92%,11.95%,3.37%,15.32%
2021,"New York State & Local Employees Retirement System","New York",1.53%,14.52%,14.86%,1.19%,16.05%
2022,"New York State & Local Employees Retirement System","New York",1.72%,15.74%,14.06%,3.40%,17.46%
2023,"New York State & Local Employees Retirement System","New York",1.89%,11.04%,14.06%,−1.13%,12.93%
2015,"New York State & Local Police & Fire Retirement System","New York",0.39%,27.77%,19.21%,8.95%,28.16%
2016,"New York State & Local Police & Fire Retirement System","New York",0.54%,24.52%,19.46%,5.60%,25.06%
2017,"New York State & Local Police & Fire Retirement System","New York",0.62%,23.05%,18.10%,5.57%,23.67%
2018,"New York State & Local Police & Fire Retirement System","New York",0.84%,23.71%,18.30%,6.25%,24.55%
2019,"New York State & Local Police & Fire Retirement System","New York",1.09%,22.90%,19.13%,4.86%,23.99%
2020,"New York State & Local Police & Fire Retirement System","New York",1.45%,21.42%,18.48%,4.40%,22.87%
2021,"New York State & Local Police & Fire Retirement System","New York",1.69%,25.04%,25.13%,1.60%,26.74%
2022,"New York State & Local Police & Fire Retirement System","New York",2.05%,27.20%,23.54%,5.71%,29.24%
2023,"New York State & Local Police & Fire Retirement System","New York",2.19%,26.24%,23.66%,4.77%,28.43%
2014,"New York State Teachers' Retirement System","New York",0.82%,16.25%,9.46%,7.61%,17.07%
2015,"New York State Teachers' Retirement System","New York",0.79%,17.38%,9.22%,8.95%,18.17%
2016,"New York State Teachers' Retirement System","New York",0.81%,13.26%,7.66%,6.41%,14.07%
2017,"New York State Teachers' Retirement System","New York",0.82%,11.72%,8.15%,4.39%,12.54%
2018,"New York State Teachers' Retirement System","New York",0.81%,9.81%,8.10%,2.51%,10.61%
2019,"New York State Teachers' Retirement System","New York",0.82%,10.63%,9.16%,2.29%,11.45%
2020,"New York State Teachers' Retirement System","New York",0.85%,8.87%,9.21%,0.51%,9.72%
2021,"New York State Teachers' Retirement System","New York",0.94%,9.54%,10.34%,0.13%,10.48%
2022,"New York State Teachers' Retirement System","New York",1.08%,9.80%,9.89%,0.99%,10.87%
2023,"New York State Teachers' Retirement System","New York",1.20%,10.29%,9.80%,1.69%,11.48%
2014,"North Carolina Consolidated Judicial Retirement System","North Carolina",8.18%,31.25%,24.30%,15.12%,39.42%
2015,"North Carolina Consolidated Judicial Retirement System","North Carolina",8.96%,27.21%,24.14%,12.03%,36.17%
2016,"North Carolina Consolidated Judicial Retirement System","North Carolina",10.88%,27.21%,24.33%,13.76%,38.09%
2017,"North Carolina Consolidated Judicial Retirement System","North Carolina",11.13%,29.46%,23.50%,17.08%,40.59%
2018,"North Carolina Consolidated Judicial Retirement System","North Carolina",7.39%,31.05%,22.25%,16.18%,38.44%
2019,"North Carolina Consolidated Judicial Retirement System","North Carolina",6.80%,33.86%,24.71%,15.95%,40.66%
2020,"North Carolina Consolidated Judicial Retirement System","North Carolina",6.59%,33.60%,23.80%,16.39%,40.19%
2021,"North Carolina Consolidated Judicial Retirement System","North Carolina",6.96%,36.44%,24.34%,19.05%,43.40%
2022,"North Carolina Consolidated Judicial Retirement System","North Carolina",6.55%,40.02%,17.14%,29.42%,46.57%
2014,"North Carolina Local Government Retirement System","North Carolina",6.25%,7.44%,11.79%,1.90%,13.69%
2015,"North Carolina Local Government Retirement System","North Carolina",6.44%,7.23%,11.87%,1.80%,13.67%
2016,"North Carolina Local Government Retirement System","North Carolina",6.41%,7.07%,11.68%,1.80%,13.48%
2017,"North Carolina Local Government Retirement System","North Carolina",6.32%,7.45%,10.60%,3.17%,13.77%
2018,"North Carolina Local Government Retirement System","North Carolina",6.31%,7.73%,11.20%,2.84%,14.04%
2019,"North Carolina Local Government Retirement System","North Carolina",6.31%,8.01%,11.97%,2.35%,14.32%
2020,"North Carolina Local Government Retirement System","North Carolina",6.32%,9.27%,12.17%,3.42%,15.59%
2021,"North Carolina Local Government Retirement System","North Carolina",6.32%,10.40%,12.23%,4.49%,16.72%
2022,"North Carolina Local Government Retirement System","North Carolina",6.30%,11.63%,11.94%,5.99%,17.93%
2023,"North Carolina Local Government Retirement System","North Carolina",6.19%,12.39%,11.01%,7.57%,18.58%
2014,"North Carolina Teachers' and State Employees' Retirement System","North Carolina",6.38%,9.10%,12.03%,3.46%,15.49%
2015,"North Carolina Teachers' and State Employees' Retirement System","North Carolina",6.50%,9.61%,11.89%,4.22%,16.11%
2016,"North Carolina Teachers' and State Employees' Retirement System","North Carolina",6.40%,9.45%,11.71%,4.14%,15.85%
2017,"North Carolina Teachers' and State Employees' Retirement System","North Carolina",6.43%,10.36%,10.56%,6.23%,16.79%
2018,"North Carolina Teachers' and State Employees' Retirement System","North Carolina",6.31%,11.10%,11.29%,6.12%,17.41%
2019,"North Carolina Teachers' and State Employees' Retirement System","North Carolina",6.39%,12.87%,11.97%,7.28%,19.26%
2020,"North Carolina Teachers' and State Employees' Retirement System","North Carolina",6.31%,13.44%,12.11%,7.64%,19.75%
2021,"North Carolina Teachers' and State Employees' Retirement System","North Carolina",6.41%,15.50%,12.45%,9.45%,21.91%
2022,"North Carolina Teachers' and State Employees' Retirement System","North Carolina",6.38%,17.11%,11.89%,11.61%,23.50%
2023,"North Carolina Teachers' and State Employees' Retirement System","North Carolina",6.07%,17.38%,11.06%,12.38%,23.45%
2014,"North Dakota Public Employees Retirement System","North Dakota",7.62%,6.94%,10.65%,3.91%,14.56%
2015,"North Dakota Public Employees Retirement System","North Dakota",7.71%,7.28%,10.70%,4.29%,14.99%
2016,"North Dakota Public Employees Retirement System","North Dakota",7.95%,7.35%,12.06%,3.25%,15.30%
2017,"North Dakota Public Employees Retirement System","North Dakota",8.26%,7.42%,10.64%,5.04%,15.68%
2018,"North Dakota Public Employees Retirement System","North Dakota",9.06%,7.50%,15.24%,1.32%,16.56%
2019,"North Dakota Public Employees Retirement System","North Dakota",7.78%,7.43%,15.68%,−0.47%,15.21%
2020,"North Dakota Public Employees Retirement System","North Dakota",7.90%,7.32%,11.57%,3.65%,15.23%
2021,"North Dakota Public Employees Retirement System","North Dakota",7.67%,7.52%,20.00%,−4.82%,15.19%
2022,"North Dakota Public Employees Retirement System","North Dakota",8.00%,7.74%,11.47%,4.27%,15.74%
2023,"North Dakota Public Employees Retirement System","North Dakota",7.48%,7.73%,17.05%,−1.84%,15.21%
2014,"North Dakota Teachers' Fund for Retirement","North Dakota",10.10%,10.76%,9.78%,11.07%,20.86%
2015,"North Dakota Teachers' Fund for Retirement","North Dakota",12.01%,12.78%,9.85%,14.93%,24.79%
2016,"North Dakota Teachers' Fund for Retirement","North Dakota",12.18%,12.76%,10.50%,14.43%,24.93%
2017,"North Dakota Teachers' Fund for Retirement","North Dakota",12.13%,12.78%,11.18%,13.73%,24.91%
2018,"North Dakota Teachers' Fund for Retirement","North Dakota",12.07%,12.78%,11.48%,13.37%,24.85%
2019,"North Dakota Teachers' Fund for Retirement","North Dakota",12.02%,12.77%,11.08%,13.71%,24.80%
2020,"North Dakota Teachers' Fund for Retirement","North Dakota",12.05%,12.77%,11.05%,13.77%,24.82%
2021,"North Dakota Teachers' Fund for Retirement","North Dakota",12.08%,12.77%,11.30%,13.55%,24.85%
2022,"North Dakota Teachers' Fund for Retirement","North Dakota",12.01%,12.75%,11.73%,13.03%,24.76%
2023,"North Dakota Teachers' Fund for Retirement","North Dakota",11.89%,12.75%,11.98%,12.66%,24.64%
2014,"Ohio Police and Fire Pension Fund","Ohio",11.34%,21.19%,13.31%,19.22%,32.53%
2015,"Ohio Police and Fire Pension Fund","Ohio",12.01%,20.96%,13.08%,19.90%,32.97%
2016,"Ohio Police and Fire Pension Fund","Ohio",12.82%,21.73%,13.06%,21.49%,34.55%
2017,"Ohio Police and Fire Pension Fund","Ohio",12.68%,20.78%,13.03%,20.43%,33.46%
2018,"Ohio Police and Fire Pension Fund","Ohio",13.37%,21.66%,15.01%,20.03%,35.04%
2019,"Ohio Police and Fire Pension Fund","Ohio",13.68%,22.65%,15.51%,20.82%,36.33%
2020,"Ohio Police and Fire Pension Fund","Ohio",12.63%,20.94%,14.43%,19.14%,33.57%
2021,"Ohio Police and Fire Pension Fund","Ohio",13.34%,21.35%,14.27%,20.42%,34.69%
2022,"Ohio Police and Fire Pension Fund","Ohio",13.29%,21.68%,16.30%,18.68%,34.98%
2023,"Ohio Police and Fire Pension Fund","Ohio",13.24%,21.49%,15.19%,19.54%,34.72%
2014,"Ohio Public Employees Retirement System","Ohio",10.12%,12.16%,13.67%,8.60%,22.28%
2015,"Ohio Public Employees Retirement System","Ohio",10.12%,12.16%,13.69%,8.59%,22.28%
2016,"Ohio Public Employees Retirement System","Ohio",10.12%,12.17%,13.59%,8.70%,22.29%
